section_id	section_title	paper_id	why
3.1	Manipulation, navigation, and task scope	P0279	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, navigation, benchmarks) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0185	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, task, benchmarks) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0107	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, navigation, core) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0235	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, navigation, data) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0122	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (task, benchmarks, compute) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0129	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, task, manipulation) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0006	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, benchmarks, core) in the paper title/abstract. (also mapped 1× already)
3.1	Manipulation, navigation, and task scope	P0007	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, data, datasets) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0294	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (navigation, choices, cost) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0297	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, benchmarks, core) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0243	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, cost, drive) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0112	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, data, explicit) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0062	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, benchmarks, datasets) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0214	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, data, datasets) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0252	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (task, data, datasets) in the paper title/abstract.
3.1	Manipulation, navigation, and task scope	P0271	Matches subsection 'Manipulation, navigation, and task scope' via shared terms (manipulation, benchmarks, cover) in the paper title/abstract. (also mapped 1× already)
