unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U001,Initialize workspace and copy templates,META,workspace-init,,STATUS.md;CHECKPOINTS.md;UNITS.csv;DECISIONS.md;GOAL.md;output/QUALITY_GATE.md;output/RUN_ERRORS.md,workspace模板文件齐全（含 QUALITY_GATE / RUN_ERRORS）,C0,DONE,,CODEX
U002,Draft kickoff questions + seed queries (brainstorm),META,pipeline-router,GOAL.md,DECISIONS.md;queries.md,DECISIONS 含 C0 问题块；queries.md 含非空关键词（可被后续 idea-brief 重写为多桶检索计划）,C0,DONE,U001,CODEX
U003,Idea brief: lock topic/constraints/audience/query buckets,META,idea-brief,GOAL.md;DECISIONS.md;queries.md,output/trace/IDEA_BRIEF.md;queries.md;DECISIONS.md,IDEA_BRIEF.md 含 topic/scope/constraints/exclusions/rubric/targets/query buckets；queries.md 设定 draft_profile=idea_brainstorm 且包含 3-6 个 query buckets,C0,DONE,U002,CODEX
U005,HUMAN approve C0 (brainstorm brief),META,human-checkpoint,DECISIONS.md,DECISIONS.md,勾选 DECISIONS.md 的 Approve C0（确认 brainstorm brief 后才进入检索）,C0,DONE,U003,HUMAN
U010,Collect candidate papers and normalize metadata,RETRIEVE,literature-engineer,queries.md,papers/papers_raw.jsonl;papers/retrieval_report.md,papers_raw.jsonl 覆盖度达标（Lite+ 建议 >=800）；每条含 title/year/url + 稳定标识 + provenance；retrieval_report.md 记录 buckets/exclusions/字段统计,C1,DONE,U005,CODEX
U020,Dedupe+rank and produce core set,CURATE,dedupe-rank,papers/papers_raw.jsonl,papers/papers_dedup.jsonl;papers/core_set.csv,dedup 后池子足够大（建议 >=400）；core_set 默认 100；paper_id 唯一且 title 非空,C1,DONE,U010,CODEX
U030,Build idea landscape taxonomy [NO PROSE],STRUCTURE,taxonomy-builder,papers/core_set.csv,outline/taxonomy.yml,taxonomy 至少 2 层且节点有解释；用于 brainstorm landscape 而非论文大纲,C2,DONE,U020,CODEX
U042,Draft C2 focus questions (clusters / lenses),META,pipeline-router,outline/taxonomy.yml;output/trace/IDEA_BRIEF.md,DECISIONS.md,DECISIONS 含 C2 focus 选择提示（基于 taxonomy 列出候选簇 / lenses；要求写明选择与排除项）,C2,DONE,U030,CODEX
U045,HUMAN approve C2 (focus lenses + exclusions),META,human-checkpoint,DECISIONS.md,DECISIONS.md,勾选 DECISIONS.md 的 Approve C2（确认 focus 后才进入 signals 与 direction synthesis）,C2,DONE,U042,HUMAN
U060,Write paper notes for core set [NO PROSE],EVIDENCE,paper-notes,papers/core_set.csv,papers/paper_notes.jsonl;papers/evidence_bank.jsonl,core_set 覆盖率 100%；notes 至少含 summary/method/results/limitations；不泄漏 TODO/省略号,C3,DONE,U045,CODEX
