unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U100,Rewrite z_refactor to latest-standard baseline,DOC,manual-review,z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md;z_refactor/SKILLS_REFACTOR_BLUEPRINT.md,z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md;z_refactor/SKILLS_REFACTOR_BLUEPRINT.md,execution artifacts plus the kept blueprint doc are rewritten to latest-standard form and scoped to the current standards plus active backlog,C0,DONE,,CODEX
U110,Lock current contract boundaries in governance docs,DOC,manual-review,z_refactor/SKILLS_REFACTOR_BLUEPRINT.md;z_refactor/STATUS.md;z_refactor/DECISIONS.md,z_refactor/SKILLS_REFACTOR_BLUEPRINT.md;z_refactor/STATUS.md;z_refactor/DECISIONS.md,"the kept governance docs clearly define the split between pipeline frontmatter, UNITS execution, skill assets/references, and helper responsibilities",C1,DONE,U100,CODEX
U115,Summarize Anthropic skill design principles for repo use,DOC,skill-creator,workspaces/_refs/anthropics-skills/README.md;workspaces/_refs/anthropics-skills/template/SKILL.md;workspaces/_refs/anthropics-skills/skills/skill-creator/SKILL.md;/home/rjs/.codex/skills/.system/skill-creator/SKILL.md,z_refactor/ANTHROPIC_SKILLS_DESIGN_PRINCIPLES.md,"a repo-local note captures Anthropic skill design principles, with special focus on skill-creator and direct implications for this repo",C1,DONE,U100,CODEX
U120,Align execution artifacts with the rewritten standard,META,manual-review,z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,"status, checkpoints, decisions, and units all describe the same current workstream and only the active backlog",C2,DONE,U110,CODEX
U125,Write the retrieval-informed survey structure design doc,DOC,manual-review,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,z_refactor/SURVEY_PIPELINE_STRUCTURE_DESIGN.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,"a complete design doc defines the target survey workflow as retrieval-informed, section-first, and loop-driven, and the execution artifacts record that design as active input to the next contract migration batch",C3,DONE,U120,CODEX
U126,Review the proposed survey structure design and record migration risks,DOC,manual-review,z_refactor/SURVEY_PIPELINE_STRUCTURE_DESIGN.md;pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,z_refactor/SURVEY_PIPELINE_DESIGN_REVIEW.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,"a review doc records consensus, minimum contract changes, highest-risk refactor steps, and hidden costs of the proposed survey-structure migration; governance artifacts reflect that review as active input to the next implementation batch",C3,DONE,U125,CODEX
U127,Write the survey contract crosswalk and close artifact-lineage ambiguity,DOC,manual-review,z_refactor/SURVEY_PIPELINE_STRUCTURE_DESIGN.md;z_refactor/SURVEY_PIPELINE_DESIGN_REVIEW.md;pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv,z_refactor/SURVEY_PIPELINE_CONTRACT_CROSSWALK.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,"a crosswalk doc maps current-vs-target survey contract surfaces, explicitly states what is kept/inserted/replaced, and closes ambiguity for mapping.tsv, coverage_report.md, chapter_briefs.jsonl, subsection_briefs.jsonl, and writer_context_packs.jsonl before implementation starts",C3,DONE,U126,CODEX
U128,Run a full multi-agent z_refactor re-review and tighten the contract boundary,DOC,manual-review,z_refactor/ANTHROPIC_SKILLS_DESIGN_PRINCIPLES.md;z_refactor/SKILLS_REFACTOR_BLUEPRINT.md;z_refactor/SURVEY_PIPELINE_STRUCTURE_DESIGN.md;z_refactor/SURVEY_PIPELINE_DESIGN_REVIEW.md;z_refactor/SURVEY_PIPELINE_CONTRACT_CROSSWALK.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,z_refactor/SKILLS_REFACTOR_BLUEPRINT.md;z_refactor/SURVEY_PIPELINE_STRUCTURE_DESIGN.md;z_refactor/SURVEY_PIPELINE_DESIGN_REVIEW.md;z_refactor/SURVEY_PIPELINE_CONTRACT_CROSSWALK.md;z_refactor/STATUS.md;z_refactor/UNITS.csv;z_refactor/CHECKPOINTS.md;z_refactor/DECISIONS.md,"all-agent re-review results are absorbed into the active docs; parse boundary, artifact lineage, checkpoint placement, and backlog sequencing are tightened before implementation begins",C3,DONE,U127,CODEX
U130,Introduce metadata-first survey pipeline contract fields,CODE,manual-refactor,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;tooling/pipeline_spec.py;scripts/validate_repo.py;templates/pipeline.schema.md,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;tooling/pipeline_spec.py;scripts/validate_repo.py;templates/pipeline.schema.md,"survey behavior-critical defaults, variant relation, loop policy, stage contract, and parse boundary live in machine-readable pipeline metadata and are parsed/validated by repo tooling",C3,DONE,U128,CODEX
U140,Collapse survey-latex into a survey variant,CODE,manual-refactor,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv;tooling/pipeline_spec.py,pipelines/arxiv-survey-latex.pipeline.md;tooling/pipeline_spec.py;templates/pipeline.schema.md,arxiv-survey-latex becomes an explicit variant with only latex/pdf delta instead of a duplicated full contract,C4,DONE,U130,CODEX
U145,Extend the metadata-first contract model to idea-brainstorm,CODE,manual-refactor,pipelines/idea-brainstorm.pipeline.md;tooling/pipeline_spec.py;scripts/validate_repo.py;templates/pipeline.schema.md,pipelines/idea-brainstorm.pipeline.md;tooling/pipeline_spec.py;scripts/validate_repo.py;templates/pipeline.schema.md,idea-brainstorm gains machine-readable defaults and validated contract fields under the survey-proven schema instead of relying on prose-only defaults,C4,DONE,U130,CODEX
U150,Move survey pipeline defaults out of prose and helper fallbacks,CODE,manual-refactor,tooling/common.py;pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md,tooling/common.py;tooling/quality_gate.py;pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md,"survey helpers materialize active contract fields instead of inventing defaults such as core_size, retrieval width, or target counts",C4,TODO,U130,CODEX
U152,Move idea-brainstorm defaults out of prose and helper fallbacks,CODE,manual-refactor,.codex/skills/idea-brief/scripts/run.py;pipelines/idea-brainstorm.pipeline.md,.codex/skills/idea-brief/scripts/run.py;pipelines/idea-brainstorm.pipeline.md;tooling/ideation.py;tooling/quality_gate.py,"idea helpers materialize the active idea contract instead of inventing pool, shortlist, or memo defaults",C4,DONE,U145,CODEX
U153,Refactor idea-brief into a reference-first skill package,CODE,skill-creator,.codex/skills/idea-brief/SKILL.md;.codex/skills/idea-brief/scripts/run.py;z_refactor/ANTHROPIC_SKILLS_DESIGN_PRINCIPLES.md,.codex/skills/idea-brief/references/overview.md;.codex/skills/idea-brief/assets/brief_contract.json;.codex/skills/idea-brief/SKILL.md;.codex/skills/idea-brief/scripts/run.py,"idea-brief owns its reusable method in references, its machine-readable brief contract in assets, and keeps run.py deterministic instead of owning query-bucket policy, rubric rows, and prose templates",C4,DONE,U145,CODEX
U154,Align ideation runtime and QA with explicit contract surfaces,CODE,manual-refactor,tooling/ideation.py;tooling/quality_gate.py;.codex/skills/idea-direction-generator/scripts/run.py;.codex/skills/idea-screener/scripts/run.py;.codex/skills/idea-shortlist-curator/scripts/run.py;.codex/skills/idea-shortlist-curator/SKILL.md;.codex/skills/idea-shortlist-curator/assets/rationale_templates.json;.codex/skills/idea-memo-writer/scripts/run.py,tooling/ideation.py;tooling/quality_gate.py;.codex/skills/idea-direction-generator/scripts/run.py;.codex/skills/idea-screener/scripts/run.py;.codex/skills/idea-shortlist-curator/scripts/run.py;.codex/skills/idea-shortlist-curator/SKILL.md;.codex/skills/idea-shortlist-curator/assets/rationale_templates.json;.codex/skills/idea-memo-writer/scripts/run.py;.codex/skills/idea-brief/scripts/run.py;pipelines/idea-brainstorm.pipeline.md,"ideation C4/C5 runtime and QA fail closed on missing pipeline contracts, consume only declared canonical overrides, and stop duplicating idea-brief section requirements outside the asset contract; remaining scoring/selection policy drift is explicitly tracked",C4,DONE,U145;U153,CODEX
U155,Insert the section-first survey contract layer into the executable plan,CODE,manual-refactor,pipelines/arxiv-survey.pipeline.md;pipelines/arxiv-survey-latex.pipeline.md;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv;.codex/skills/chapter-skeleton/SKILL.md;.codex/skills/chapter-skeleton/scripts/run.py;.codex/skills/section-bindings/SKILL.md;.codex/skills/section-bindings/scripts/run.py;.codex/skills/section-briefs/SKILL.md;.codex/skills/section-briefs/scripts/run.py;.codex/skills/outline-builder/scripts/run.py;.codex/skills/outline-refiner/scripts/run.py;.codex/skills/subsection-briefs/scripts/run.py;.codex/skills/writer-context-pack/scripts/run.py;tooling/common.py;tooling/quality_gate.py;z_refactor/SURVEY_PIPELINE_CONTRACT_CROSSWALK.md,pipelines/arxiv-survey.pipeline.md;templates/UNITS.arxiv-survey.csv;templates/UNITS.arxiv-survey-latex.csv;.codex/skills/chapter-skeleton/SKILL.md;.codex/skills/chapter-skeleton/scripts/run.py;.codex/skills/section-bindings/SKILL.md;.codex/skills/section-bindings/scripts/run.py;.codex/skills/section-briefs/SKILL.md;.codex/skills/section-briefs/scripts/run.py;.codex/skills/outline-builder/scripts/run.py;.codex/skills/outline-refiner/scripts/run.py;.codex/skills/subsection-briefs/scripts/run.py;.codex/skills/writer-context-pack/scripts/run.py;tooling/common.py;tooling/quality_gate.py,"survey contracts and units include chapter_skeleton, section_bindings, section_binding_report, section_briefs, stable-H3 cutover state in outline_state, moved structure approval, and explicit reroute surfaces before subsection mapping; chapter-level `hold_or_merge` must materialize as structured `REROUTE` rather than false PASS",C4,DONE,U140;U150;U154,CODEX
