unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U001,Initialize workspace and copy templates,META,workspace-init,,STATUS.md;CHECKPOINTS.md;UNITS.csv;DECISIONS.md;GOAL.md;output/QUALITY_GATE.md;output/RUN_ERRORS.md,workspace 模板文件齐全且 error sinks 已创建,C0,TODO,,CODEX
U002,Route goal into source-tutorial kickoff questions,META,pipeline-router,GOAL.md,DECISIONS.md;queries.md,DECISIONS.md 包含 source intake 说明和 C0 问题块,C0,TODO,U001,CODEX
U010,Create or validate source manifest,STRUCTURE,source-manifest,GOAL.md;DECISIONS.md,sources/manifest.yml,manifest 至少包含 1 个有效 source 且字段完整,C1,TODO,U002,CODEX
U020,Ingest and normalize supported sources,EVIDENCE,source-ingest,sources/manifest.yml,sources/index.jsonl;sources/provenance.jsonl,至少 1 个 required source ingest 成功并写出 provenance,C1,TODO,U010,CODEX
U030,Write tutorial spec from ingested sources,STRUCTURE,source-tutorial-spec,sources/index.jsonl;sources/provenance.jsonl,output/TUTORIAL_SPEC.md,包含 audience/prerequisites/objectives/non-goals/source scope,C2,TODO,U020,CODEX
U040,Build concept graph from tutorial spec,STRUCTURE,concept-graph,output/TUTORIAL_SPEC.md,outline/concept_graph.yml,概念图为非空 DAG 且核心概念覆盖 tutorial spec,C2,TODO,U030,CODEX
U050,Plan tutorial modules,STRUCTURE,module-planner,outline/concept_graph.yml,outline/module_plan.yml,每模块有 objectives 和 concrete outputs,C2,TODO,U040,CODEX
U060,Add exercises to each tutorial module,STRUCTURE,exercise-builder,outline/module_plan.yml,outline/module_plan.yml,每模块至少 1 个可验证练习,C2,TODO,U050,CODEX
U070,Audit module grounding against sources,QA,module-source-coverage,outline/module_plan.yml;sources/index.jsonl;sources/provenance.jsonl,outline/source_coverage.jsonl,每个模块都映射到 source IDs 或显式记录缺口,C2,TODO,U060,CODEX
U080,Build per-module tutorial context packs,STRUCTURE,tutorial-context-pack,outline/module_plan.yml;outline/source_coverage.jsonl;sources/provenance.jsonl,outline/tutorial_context_packs.jsonl,每模块生成 1 个 context pack 且包含 objective/source snippets/exercise seed,C2,TODO,U070,CODEX
U090,Human approve learner profile and tutorial structure,META,human-checkpoint,output/TUTORIAL_SPEC.md;outline/module_plan.yml,DECISIONS.md,DECISIONS.md 勾选 Approve C2,C2,TODO,U080,HUMAN
U100,Write tutorial prose from approved packs,WRITE,source-tutorial-writer,outline/tutorial_context_packs.jsonl;outline/module_plan.yml;DECISIONS.md,output/TUTORIAL.md,正文是 article-first tutorial 且模块顺序与已批准 plan 一致,C3,TODO,U090,CODEX
U110,Run tutorial self-loop until PASS,QA,tutorial-selfloop,output/TUTORIAL.md;outline/module_plan.yml,output/TUTORIAL_SELFLOOP_TODO.md,报告状态为 PASS,C3,TODO,U100,CODEX
U120,Scaffold article LaTeX from tutorial,LATEX,latex-scaffold,output/TUTORIAL.md,latex/main.tex,latex/main.tex 存在且无 Markdown 残留,C4,TODO,U110,CODEX
U130,Compile tutorial article PDF,LATEX,latex-compile-qa,latex/main.tex,latex/main.pdf;output/LATEX_BUILD_REPORT.md,article PDF 编译成功并有 build report,C4,TODO,U120,CODEX
U140,Scaffold Beamer slides from tutorial,LATEX,beamer-scaffold,output/TUTORIAL.md;outline/module_plan.yml,latex/slides/main.tex,slides TeX 生成成功且包含 beamer 文档骨架,C4,TODO,U110,CODEX
U150,Compile Beamer slides PDF,LATEX,beamer-compile-qa,latex/slides/main.tex,latex/slides/main.pdf;output/SLIDES_BUILD_REPORT.md,slides PDF 编译成功并有 build report,C4,TODO,U140,CODEX
U160,Audit source-tutorial artifact contract,QA,artifact-contract-auditor,UNITS.csv;PIPELINE.lock.md,output/CONTRACT_REPORT.md,CONTRACT_REPORT.md 状态为 PASS,C4,TODO,U130;U150,CODEX
