title,year,url,arxiv_id,doi,venue,primary_category,categories,pdf_url,source
ReAct: Synergizing Reasoning and Acting in Language Models,2022,http://arxiv.org/abs/2210.03629v3,2210.03629v3,,,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2210.03629v3,arxiv
Toolformer: Language Models Can Teach Themselves to Use Tools,2023,http://arxiv.org/abs/2302.04761v1,2302.04761v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2302.04761v1,arxiv
Reflexion: Language Agents with Verbal Reinforcement Learning,2023,http://arxiv.org/abs/2303.11366v4,2303.11366v4,,,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2303.11366v4,arxiv
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,http://arxiv.org/abs/2305.10601v2,2305.10601v2,,,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2305.10601v2,arxiv
Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,http://arxiv.org/abs/2305.16291v2,2305.16291v2,,,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2305.16291v2,arxiv
A Survey on Large Language Model based Autonomous Agents,2023,http://arxiv.org/abs/2308.11432v7,2308.11432v7,10.1007/s11704-024-40231-1,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2308.11432v7,arxiv
"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",2025,http://arxiv.org/abs/2503.21460v1,2503.21460v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2503.21460v1,arxiv
"Agentic Large Language Models, a survey",2025,http://arxiv.org/abs/2503.23037v3,2503.23037v3,10.1613/jair.1.18675,"JAIR volume 84, article 29, December 2025",cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2503.23037v3,arxiv
Large Language Model-Brained GUI Agents: A Survey,2024,http://arxiv.org/abs/2411.18279v12,2411.18279v12,,,cs.AI,"cs.AI,cs.CL,cs.HC",https://arxiv.org/pdf/2411.18279v12,arxiv
4D-ARE: Bridging the Attribution Gap in LLM Agent Requirements Engineering,2026,http://arxiv.org/abs/2601.04556v1,2601.04556v1,,,cs.SE,cs.SE,https://arxiv.org/pdf/2601.04556v1,arxiv
A Scoping Review of the Ethical Perspectives on Anthropomorphising Large Language Model-Based Conversational Agents,2026,http://arxiv.org/abs/2601.09869v1,2601.09869v1,,,cs.AI,"cs.AI,cs.HC",https://arxiv.org/pdf/2601.09869v1,arxiv
AEMA: Verifiable Evaluation Framework for Trustworthy and Controlled Agentic LLM Systems,2026,http://arxiv.org/abs/2601.11903v1,2601.11903v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.11903v1,arxiv
ARM: Role-Conditioned Neuron Transplantation for Training-Free Generalist LLM Agent Merging,2026,http://arxiv.org/abs/2601.07309v1,2601.07309v1,,,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2601.07309v1,arxiv
Active Context Compression: Autonomous Memory Management in LLM Agents,2026,http://arxiv.org/abs/2601.07190v1,2601.07190v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.07190v1,arxiv
AgentCompress: Task-Aware Compression for Affordable Large Language Model Agents,2026,http://arxiv.org/abs/2601.05191v2,2601.05191v2,,,cs.CV,"cs.CV,cs.LG",https://arxiv.org/pdf/2601.05191v2,arxiv
AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering,2026,http://arxiv.org/abs/2601.04620v1,2601.04620v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.04620v1,arxiv
"Agentic Artificial Intelligence (AI): Architectures, Taxonomies, and Evaluation of Large Language Model Agents",2026,http://arxiv.org/abs/2601.12560v1,2601.12560v1,,,cs.AI,"cs.AI,cs.MA",https://arxiv.org/pdf/2601.12560v1,arxiv
Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,2026,http://arxiv.org/abs/2601.01885v1,2601.01885v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.01885v1,arxiv
Agentic Reasoning for Large Language Models,2026,http://arxiv.org/abs/2601.12538v1,2601.12538v1,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.12538v1,arxiv
AlignUSER: Human-Aligned LLM Agents via World Models for Recommender System Evaluation,2026,http://arxiv.org/abs/2601.00930v1,2601.00930v1,,,cs.IR,"cs.IR,cs.AI",https://arxiv.org/pdf/2601.00930v1,arxiv
Autonomous Quantum Simulation through Large Language Model Agents,2026,http://arxiv.org/abs/2601.10194v1,2601.10194v1,,,quant-ph,"quant-ph,physics.chem-ph",https://arxiv.org/pdf/2601.10194v1,arxiv
BackdoorAgent: A Unified Framework for Backdoor Attacks on LLM-based Agents,2026,http://arxiv.org/abs/2601.04566v2,2601.04566v2,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.04566v2,arxiv
Beyond Dialogue Time: Temporal Semantic Memory for Personalized LLM Agents,2026,http://arxiv.org/abs/2601.07468v1,2601.07468v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.07468v1,arxiv
Beyond IVR: Benchmarking Customer Support LLM Agents for Business-Adherence,2026,http://arxiv.org/abs/2601.00596v1,2601.00596v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.00596v1,arxiv
Beyond Max Tokens: Stealthy Resource Amplification via Tool Calling Chains in LLM Agents,2026,http://arxiv.org/abs/2601.10955v1,2601.10955v1,,,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.10955v1,arxiv
Beyond Perfect APIs: A Comprehensive Evaluation of LLM Agents Under Real-World API Complexity,2026,http://arxiv.org/abs/2601.00268v1,2601.00268v1,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.00268v1,arxiv
Beyond Static Summarization: Proactive Memory Extraction for LLM Agents,2026,http://arxiv.org/abs/2601.04463v1,2601.04463v1,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.04463v1,arxiv
Chain-of-Memory: Lightweight Memory Construction with Dynamic Evolution for LLM Agents,2026,http://arxiv.org/abs/2601.14287v1,2601.14287v1,,,cs.LG,cs.LG,https://arxiv.org/pdf/2601.14287v1,arxiv
Continuum Memory Architectures for Long-Horizon LLM Agents,2026,http://arxiv.org/abs/2601.09913v1,2601.09913v1,,,cs.AI,"cs.AI,cs.IR",https://arxiv.org/pdf/2601.09913v1,arxiv
Controlling Long-Horizon Behavior in Language Model Agents with Explicit State Dynamics,2026,http://arxiv.org/abs/2601.16087v1,2601.16087v1,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.16087v1,arxiv
Coordinated Pandemic Control with Large Language Model Agents as Policymaking Assistants,2026,http://arxiv.org/abs/2601.09264v1,2601.09264v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.09264v1,arxiv
EComStage: Stage-wise and Orientation-specific Benchmarking for Large Language Models in E-commerce,2026,http://arxiv.org/abs/2601.02752v1,2601.02752v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.02752v1,arxiv
Effects of personality steering on cooperative behavior in Large Language Model agents,2026,http://arxiv.org/abs/2601.05302v2,2601.05302v2,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.05302v2,arxiv
Entropic Context Shaping: Information-Theoretic Filtering for Context-Aware LLM Agents,2026,http://arxiv.org/abs/2601.11585v1,2601.11585v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.11585v1,arxiv
EnvScaler: Scaling Tool-Interactive Environments for LLM Agent via Programmatic Synthesis,2026,http://arxiv.org/abs/2601.05808v1,2601.05808v1,,,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2601.05808v1,arxiv
EvoRoute: Experience-Driven Self-Routing LLM Agent Systems,2026,http://arxiv.org/abs/2601.02695v1,2601.02695v1,,,cs.CL,"cs.CL,cs.MA",https://arxiv.org/pdf/2601.02695v1,arxiv
Exploring Implicit Perspectives on Autism in Large Language Models Through Multi-Agent Simulations,2026,http://arxiv.org/abs/2601.15437v1,2601.15437v1,,,cs.HC,cs.HC,https://arxiv.org/pdf/2601.15437v1,arxiv
FROAV: A Framework for RAG Observation and Agent Verification -- Lowering the Barrier to LLM Agent Research,2026,http://arxiv.org/abs/2601.07504v1,2601.07504v1,,,cs.LG,"cs.LG,cs.SE",https://arxiv.org/pdf/2601.07504v1,arxiv
Hidden in Plain Text: Measuring LLM Deception Quality Against Human Baselines Using Social Deduction Games,2026,http://arxiv.org/abs/2601.13709v1,2601.13709v1,,,cs.AI,"cs.AI,cs.CL,cs.CY,cs.HC,cs.SI",https://arxiv.org/pdf/2601.13709v1,arxiv
Holmes: An Evidence-Grounded LLM Agent for Auditable DDoS Investigation in Cloud Networks,2026,http://arxiv.org/abs/2601.14601v1,2601.14601v1,,,cs.CR,"cs.CR,cs.NI",https://arxiv.org/pdf/2601.14601v1,arxiv
HoneyTrap: Deceiving Large Language Model Attackers to Honeypot Traps with Resilient Multi-Agent Defense,2026,http://arxiv.org/abs/2601.04034v1,2601.04034v1,,,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.04034v1,arxiv
Inferring Latent Intentions: Attributional Natural Language Inference in LLM Agents,2026,http://arxiv.org/abs/2601.08742v1,2601.08742v1,,,cs.CL,cs.CL,https://arxiv.org/pdf/2601.08742v1,arxiv
IntAgent: NWDAF-Based Intent LLM Agent Towards Advanced Next Generation Networks,2026,http://arxiv.org/abs/2601.13114v1,2601.13114v1,,,cs.NI,"cs.NI,cs.AI,eess.SY",https://arxiv.org/pdf/2601.13114v1,arxiv
KryptoPilot: An Open-World Knowledge-Augmented LLM Agent for Automated Cryptographic Exploitation,2026,http://arxiv.org/abs/2601.09129v1,2601.09129v1,,,cs.CR,cs.CR,https://arxiv.org/pdf/2601.09129v1,arxiv
LLM Agent Framework for Intelligent Change Analysis in Urban Environment using Remote Sensing Imagery,2026,http://arxiv.org/abs/2601.02757v1,2601.02757v1,10.1016/j.autcon.2025.106341,Automation in Construction 177 (2025) 106341,cs.AI,cs.AI,https://arxiv.org/pdf/2601.02757v1,arxiv
"LLM Agents in Law: Taxonomy, Applications, and Challenges",2026,http://arxiv.org/abs/2601.06216v1,2601.06216v1,,,cs.CY,"cs.CY,cs.AI",https://arxiv.org/pdf/2601.06216v1,arxiv
LLM-DMD: Large Language Model-based Power System Dynamic Model Discovery,2026,http://arxiv.org/abs/2601.05632v1,2601.05632v1,,,eess.SY,eess.SY,https://arxiv.org/pdf/2601.05632v1,arxiv
LLM-in-Sandbox Elicits General Agentic Intelligence,2026,http://arxiv.org/abs/2601.16206v1,2601.16206v1,,,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.16206v1,arxiv
LLMs can Compress LLMs: Adaptive Pruning by Agents,2026,http://arxiv.org/abs/2601.09694v1,2601.09694v1,,,cs.CL,"cs.CL,cs.AI,cs.CV",https://arxiv.org/pdf/2601.09694v1,arxiv
Large Language Model Agent for User-friendly Chemical Process Simulations,2026,http://arxiv.org/abs/2601.11650v1,2601.11650v1,,,physics.chem-ph,"physics.chem-ph,cs.AI",https://arxiv.org/pdf/2601.11650v1,arxiv
Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree,2026,http://arxiv.org/abs/2601.14523v1,2601.14523v1,,,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2601.14523v1,arxiv
LongDA: Benchmarking LLM Agents for Long-Document Data Analysis,2026,http://arxiv.org/abs/2601.02598v2,2601.02598v2,,,cs.DL,"cs.DL,cs.AI",https://arxiv.org/pdf/2601.02598v2,arxiv
M3-BENCH: Process-Aware Evaluation of LLM Agents Social Behaviors in Mixed-Motive Games,2026,http://arxiv.org/abs/2601.08462v1,2601.08462v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.08462v1,arxiv
MAXS: Meta-Adaptive Exploration with LLM Agents,2026,http://arxiv.org/abs/2601.09259v1,2601.09259v1,,,cs.AI,cs.AI,https://arxiv.org/pdf/2601.09259v1,arxiv
MPCI-Bench: A Benchmark for Multimodal Pairwise Contextual Integrity Evaluation of Language Model Agents,2026,http://arxiv.org/abs/2601.08235v2,2601.08235v2,,,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.08235v2,arxiv
